,primaryTitle,HoursViewed,Runtime,Views,startYear,genres
0,Back in Action,313000000,1:54,164700000,2025,"Action,Comedy"
1,Straw,185200000,1:48,102900000,2025,"Drama,Thriller"
2,The Life List,198900000,2:05,95500000,2025,"Comedy,Drama,Romance"
3,Exterritorial,159000000,1:49,87500000,2025,"Action,Mystery,Thriller"
4,Havoc,154900000,1:47,86900000,2025,"Action,Crime,Drama"
5,The Secret Life of Pets 2,106800000,1:26,74500000,2019,"Adventure,Animation,Comedy"
6,The Electric State,158200000,2:08,74200000,2025,"Action,Adventure,Comedy"
7,Counterstrike,101000000,1:25,71300000,2025,"Action,Thriller"
8,Ad Vitam,114000000,1:38,69800000,2025,"Action,Crime,Drama"
9,Despicable Me 4,109400000,1:34,69800000,2024,"Adventure,Animation,Comedy"
10,The Secret Life of Pets,95600000,1:27,65900000,2016,"Adventure,Animation,Comedy"
11,Kinda Pregnant,98100000,1:40,58900000,2025,"Comedy,Drama"
12,Nonnas,109500000,1:54,57600000,2025,Comedy
13,iHostage,97600000,1:42,57400000,2025,"Crime,Drama,Thriller"
14,La Dolce Villa,91500000,1:39,55500000,2025,"Comedy,Romance"
15,The Boss Baby,90100000,1:38,55200000,2017,"Adventure,Animation,Comedy"
16,Minions,82100000,1:31,54100000,2015,"Adventure,Animation,Comedy"
17,Shrek,80200000,1:30,53500000,2001,"Adventure,Animation,Comedy"
18,Plankton: The Movie,74200000,1:28,50600000,2025,"Adventure,Animation,Comedy"
19,Despicable Me 3,73600000,1:30,49100000,2017,"Adventure,Animation,Comedy"
20,Carry-On,95400000,2:00,47700000,2024,"Action,Crime,Thriller"
21,Despicable Me 2,75000000,1:38,45900000,2013,"Adventure,Animation,Comedy"
22,Shrek 2,69000000,1:33,44500000,2004,"Adventure,Animation,Comedy"
23,Bad Influence,78600000,1:47,44100000,2025,"Romance,Thriller"
24,K.O.,63100000,1:27,43500000,2025,"Action,Adventure,Drama"
25,A Widow's Game,83900000,2:02,41300000,2025,"Crime,Drama,Mystery"
26,Sing,73900000,1:48,41100000,2016,"Animation,Comedy,Family"
27,Venom: The Last Dance,71900000,1:49,39600000,2024,"Action,Adventure,Sci-Fi"
28,The Super Mario Bros. Movie,59700000,1:32,38900000,2023,"Adventure,Animation,Comedy"
29,The Croods,62400000,1:38,38200000,2013,"Adventure,Animation,Comedy"
30,KPop Demon Hunters,61100000,1:40,36700000,2025,"Action,Adventure,Animation"
31,Despicable Me,57100000,1:35,36100000,2010,"Adventure,Animation,Comedy"
32,Honeymoon Crasher,55200000,1:35,34900000,2025,Comedy
